epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.24,1.7019,3.15017,1.72478,0.46559,0.22224,0.21021,0.12601,1.21964,2.94445,1.18636,0.000195554,0.000195554,0.000195554
2,278.322,1.37324,2.09786,1.39458,0.46622,0.27981,0.30867,0.18581,1.23692,2.29962,1.19844,0.000388969,0.000388969,0.000388969
3,378.566,1.34789,1.99018,1.37696,0.47508,0.29076,0.31482,0.18171,1.1524,1.84181,1.14553,0.000579798,0.000579798,0.000579798
4,478.911,1.31433,1.94839,1.3588,0.43827,0.33767,0.3518,0.20366,1.18719,1.63849,1.16615,0.000576358,0.000576358,0.000576358
5,608.96,1.27066,1.86223,1.3266,0.54251,0.35475,0.3674,0.21344,1.10398,1.61157,1.11831,0.000572477,0.000572477,0.000572477
6,766.544,1.23009,1.8092,1.30012,0.54293,0.3823,0.41528,0.25566,1.04118,1.8446,1.10134,0.000568596,0.000568596,0.000568596
7,906.667,1.19373,1.75969,1.27829,0.53058,0.38833,0.41384,0.26392,1.00853,1.60932,1.0775,0.000564715,0.000564715,0.000564715
8,1050.62,1.1847,1.70231,1.28215,0.50716,0.40511,0.41854,0.26326,1.01737,1.43761,1.07669,0.000560834,0.000560834,0.000560834
9,1191.74,1.16562,1.66238,1.26272,0.60182,0.4108,0.45658,0.27715,0.98158,1.60104,1.07388,0.000556954,0.000556954,0.000556954
10,1332.88,1.13434,1.63796,1.24713,0.55026,0.43681,0.45425,0.29794,0.95739,1.38942,1.06872,0.000553073,0.000553073,0.000553073
11,2377.9,1.11529,1.61265,1.24623,0.60621,0.45095,0.48099,0.29711,0.94284,1.35658,1.05053,0.000549192,0.000549192,0.000549192
12,2486.68,1.09968,1.58709,1.23438,0.59561,0.43785,0.48658,0.30145,0.96642,1.35117,1.05249,0.000545311,0.000545311,0.000545311
13,2590.59,1.09396,1.58011,1.2251,0.60931,0.42215,0.4716,0.3039,0.93924,1.38444,1.06437,0.00054143,0.00054143,0.00054143
14,2698.81,1.09734,1.57049,1.23209,0.62567,0.42561,0.48442,0.30417,0.89999,1.35198,1.04191,0.00053755,0.00053755,0.00053755
15,2801.62,1.08422,1.56288,1.22331,0.54241,0.47022,0.47692,0.30163,0.90288,1.30541,1.03305,0.000533669,0.000533669,0.000533669
16,2903.17,1.05273,1.52836,1.20028,0.58646,0.43169,0.4814,0.29204,0.9191,1.37202,1.0207,0.000529788,0.000529788,0.000529788
17,3007.7,1.04394,1.51151,1.20136,0.54894,0.46769,0.48025,0.31545,0.90031,1.2964,1.03372,0.000525907,0.000525907,0.000525907
18,3114.18,1.03725,1.49316,1.19775,0.54962,0.47462,0.50612,0.33376,0.86827,1.2343,1.00952,0.000522026,0.000522026,0.000522026
19,3220.26,1.00855,1.46314,1.18003,0.5712,0.47665,0.50738,0.33938,0.84641,1.21709,1.00451,0.000518146,0.000518146,0.000518146
20,3326.41,1.02152,1.45752,1.18675,0.61328,0.49445,0.54795,0.36688,0.85049,1.77702,1.00937,0.000514265,0.000514265,0.000514265
21,3431.17,1.00051,1.46056,1.17903,0.60934,0.47528,0.52977,0.34743,0.8601,1.18789,1.00913,0.000510384,0.000510384,0.000510384
22,3533.25,0.98539,1.43482,1.17275,0.55334,0.52169,0.52656,0.36237,0.83926,1.19093,1.00383,0.000506503,0.000506503,0.000506503
